account_id,device_id,ip,card,address
acct_7f239c5b,dev_c3070cc5,ip_8b942bb8,card_fbf1cc2d,addr_252f8091
acct_3a8d1c32,dev_3d15b871,ip_b339a7e5,card_6aad2526,addr_b94cc4af
acct_4385daaf,dev_1cb369a0,ip_e263b817,card_cbb6042f,addr_10a94964
acct_3ecc77ec,dev_428910e6,ip_095f8664,card_8ef77cdc,addr_24807dc7
acct_18502e47,dev_7902f8ea,ip_23c74ea7,card_df00bac2,addr_1f5c312c
acct_bd2e3166,dev_1c2d1d8e,ip_04ff0a85,card_69c9b52c,addr_09724967
acct_03e879cf,dev_d597ac4c,ip_50316ad6,card_ff0307b5,addr_4998c053
acct_327b9c3c,dev_033a9779,ip_5c221b8e,card_4ece8eef,addr_7049bf00
acct_8585e2dc,dev_a0aa15c4,ip_dd8acc48,card_770f8fa4,addr_1e9e9e5c
acct_1501ed35,dev_f74fadd9,ip_0aa89260,card_edaa0b62,addr_da9b66ff
acct_d439b957,dev_3df082c5,ip_2b4d0e93,card_7d983554,addr_f7848a23
acct_42b82ff9,dev_5a6005b9,ip_440415a2,card_8cb4fade,addr_48f26e92
acct_b3514f89,dev_6bf0bd71,ip_f7d02408,card_dafaf775,addr_68d92ba0
acct_ef68e0e3,dev_6cea4b3a,ip_10a4b644,card_463f6ef0,addr_9c1ef70f
acct_7751c7a2,dev_6e0b5037,ip_3fdf11b7,card_f6c1dd9b,addr_010d6e03
acct_f06ca03d,dev_49446e77,ip_06ba0819,card_21fa8a3e,addr_0ffe6c09
acct_d37ab182,dev_27890782,ip_bdca98d6,card_80f9f90f,addr_b8af5d0a
acct_4e516c76,dev_280aaad6,ip_cff945fb,card_2922e3ae,addr_6508b349
acct_177f6c3e,dev_dbb668cb,ip_b4887e3a,car_6f154a86,addr_a2781e56
acct_2b5a10cd,dev_9ddfc38a,ip_9cc398d0,card_60d3b6b9,addr_a9858677
acct_2d28e15c,dev_3b04a7cf,ip_3876ad78,card_d7696f65,addr_bd661b6e
acct_824607ef,dev_4fc4fb39,ip_e278f048,card_e48d8c19,addr_085c4807
acct_3c09b145,dev_bbfec111,ip_ec59215b,card_3f36cd67,addr_47054472
acct_8815a43d,dev_9b09db31,ip_238002f7,card_cfdd5482,addr_cea3e849
acct_0abf52b7,dev_ffe5c908,ip_69602dbe,card_6f743b38,addr_317b34fa
acct_691dff7c,dev_11f44027,ip_31ebbf77,card_7cf9ef46,addr_0648a9a9
acct_e5f4876b,dev_ed237460,ip_6e10b1b9,card_e60d7784,addr_4c42d93c
acct_02322ecb,dev_f177e1ec,ip_4fa6cce0,card_136c502a,addr_f0aacdb1
acct_5bab77ea,dev_e75e8f81,ip_50646590,card_d48b9b9c,addr_e6ab9b0c
acct_0fe4901f,dev_200153fd,ip_2615cf47,card_1b5a2b88,addr_8f21c1af
acct_33f16332,dev_9d6f4f0f,ip_46986dca,card_0163f317,addr_1376e097
acct_7994f3c4,dev_569ffe16,ip_40becc1c,card_83400e0e,addr_0f1bcffe
acct_20b798b6,dev_4de03efc,ip_db38396a,card_c6d01b27,addr_c4929793
acct_fa65347c,dev_d3c97d2e,ip_dda36e46,card_c819248c,addr_66d89955
acct_4c3fe6f1,dev_50dc39c7,ip_027cfce8,card_b7d194c9,addr_e499053c
acct_fb834add,dev_c62f3742,ip_5f7b40bf,card_7037a099,addr_37469bf3
acct_abe04cb6,dev_6aff5bdf,ip_dd3243b5,card_a968a82a,addr_e63487ac
acct_48bcfd76,dev_b8d82f6e,ip_78b4f746,card_3c9331fe,addr_36848a90
acct_dfd8a03c,dev_bf94f918,ip_38cd7327,card_85dd0814,addr_31b724b6
acct_bc4c4bda,dev_568e09ce,ip_ba1b0ec1,card_06b75648,addr_67fcc53c
acct_9c127140,dev_591da552,ip_0e9f3a5e,card_e8292510,addr_85dd9b09
acct_d46870d8,dev_7616bacd,ip_73018700,card_914dd2bb,addr_ca7153ff
acct_347c9d4e,dev_a51b9f01,ip_17370a69,card_0359739f,addr_2bb6a94f
acct_05a77275,dev_fc8c70aa,ip_3d647603,car_320f0898,addr_b651af13
acct_f17a128e,dev_eb208caa,ip_ffac49dc,car_a60a6069,addr_a471ee47
acct_9a5851a3,dev_14053322,ip_f3e09e9d,car_18e9983a,addr_3e145620
acct_09a5fd4d,dev_34f895df,ip_db28efa6,card_214d35b3,addr_125e6a98
acct_e505ef8f,dev_1d219b95,ip_62125e6e,card_79bdf034,addr_d6011c95
acct_2cb6fc8a,dev_26773cf9,ip_577f56c1,card_af25fa8b,addr_6befb5f5
acct_cd8fbbe7,dev_5fa97e6b,ip_147a2778,card_a9f92633,addr_31159b5e
acct_02521d3d,dev_29ccc44b,ip_92e26778,card_6234442f,addr_c91088b2
acct_937e1ee1,dev_20fc43f0,ip_6fadf1df,card_b2ee2302,addr_d63092f6
acct_28027113,dev_79b9da07,ip_ab7aa72e,card_d92ee599,addr_c4e5c3a1
acct_f27e7322,dev_6ca569f6,ip_630fd5e1,card_4b1d7d57,addr_c7fcf3f3
acct_0c411172,dev_3c3631d4,ip_bd57ec6e,card_9d71f4b2,addr_30babdbf
acct_63787eed,dev_7bf14ce6,ip_e7f62d51,card_eeb4bd98,addr_a269c09c
acct_12b94a94,dev_c45e31ff,ip_776aa4d1,card_68f0db86,addr_7f6ef281
acct_e2a8402f,dev_a9297be7,ip_4ef1fd67,card_fcd35376,addr_064c0c07
acct_43d80bde,dev_2309cc2d,ip_7570e433,card_7a307ceb,addr_5841192b
acct_20a82e7b,dev_c7975ffe,ip_103a23f9,card_2353b814,addr_e41d6d45
acct_3678212f,dev_5d5680a1,ip_006efa0b,card_6387601c,addr_02457fe2
acct_a8ffc245,dev_f74fadd9,ip_6de7a6ca,card_816b563c,addr_b9e52b0a
acct_bbc443d5,dev_8dec95e2,ip_0d75c214,card_35c4afd4,addr_7a416855
acct_23e28d0d,dev_c382b70a,ip_afbd083a,card_d97ac705,addr_3c20c6e8
acct_68c7c890,dev_2fd5e69d,ip_b5ab3a0c,card_68078cd0,addr_9df86768
acct_6c80ec3a,dev_7fa8786b,ip_58b138af,car_a60a6069,addr_a6d7defe
acct_8b4e0870,dev_b44d0e5c,ip_c3e6398d,card_ba436fea,addr_d40b751b
acct_8f7d6081,dev_5c4410e2,ip_d4fde4ca,card_5893fbfe,addr_b282b0ed
acct_0ee2d39b,dev_05593ac1,ip_611d1bce,card_76b5ebb0,addr_dc693afa
acct_1bd3c30a,dev_971c8800,ip_a75f0b32,card_86e9c3a3,addr_572bc656
acct_4ef33b77,dev_7a9455f7,ip_a2ece6e8,card_95a80c01,addr_59dc7a16
acct_38b3a83a,dev_011c9738,ip_d7389636,card_c8b47307,addr_0d2e5492
acct_87176b60,dev_8a41b828,ip_7dc9b4b6,card_e7524c47,addr_e00a5ea1
acct_e555242c,dev_e0e4deaa,ip_8a8fc6b2,card_77c238c1,addr_2df4f4b0
acct_8140266a,dev_0cd6c457,ip_b369f161,card_cfcada10,addr_dce4d9a1
acct_9fcb957e,dev_0351217d,ip_4b80d15b,card_961854b8,addr_18b97263
acct_14fdaa06,dev_b1995ef5,ip_7191b2a1,card_93029260,addr_655d6b9c
acct_2633f15a,dev_a2fe4cda,ip_d6e9b222,card_99ea3588,addr_98d33427
acct_b4f47cca,dev_aeb4caa6,ip_e94515ab,card_85f15e29,addr_d4f6edca
acct_e89e0c8d,dev_60b20a14,ip_4a8d1c41,card_78ba4665,addr_80587b53
acct_2b0ddf33,dev_b287bc6c,ip_8d7d1155,card_87e26339,addr_71f338dc
acct_01ad924f,dev_221b2839,ip_b73b5e22,card_575f45cf,addr_6a3d638c
acct_9bd08167,dev_c92d5053,ip_eeaf911c,card_6b2851ae,addr_7f6ef281
acct_15b98107,dev_0e2fe9bb,ip_ee2f80ed,card_559d4c84,addr_f31d7105
acct_21c81078,dev_b9bfb7a4,ip_517a994a,card_032528e8,addr_63ee698a
acct_1dd6ef57,dev_73706daf,ip_02bd70f5,card_1bc10587,addr_36848a90
acct_5f21f450,dev_daa19215,ip_88042281,card_091937a2,addr_9d09de2a
acct_73153eff,dev_f2f3474c,ip_d744d7e1,card_a8aa0d7b,addr_0618c9fc
acct_3bd97df0,dev_36b36984,ip_b4ebc7ea,card_63a2b3ca,addr_da8ac041
acct_1045357d,dev_c7247591,ip_8cd5015c,card_18ad3dc0,addr_1d462395
acct_dbd0de5b,dev_c916fc90,ip_047668c9,car_b0fd0f59,addr_52d9d393
acct_cbbd4875,dev_f3e4f508,ip_ac8e4941,card_97da2560,addr_227b661a
acct_7d3d3084,dev_b378d20d,ip_687f4027,card_59214e36,addr_bce0c237
acct_619a8a18,dev_f99a7ab4,ip_9af206fa,card_c292b9c1,addr_b051122f
acct_6716629c,dev_6b4c8e07,ip_874ae585,card_2545eb81,addr_15a3f08d
acct_053ab951,dev_938c0ebb,ip_f00b5b08,card_28921a8d,addr_62664077
acct_a2bc6d17,dev_989940dc,ip_bf8e78b8,card_5b2c83a3,addr_3dccfdb4
acct_256f6f66,dev_b1216cb0,ip_8b86f508,card_c7e1692c,addr_3cd0a137
acct_b93ad7f0,dev_2cbadcf9,ip_2acca3e1,card_e838e667,addr_eb647cc9
acct_5e659437,dev_b1827300,ip_eaebfe9f,card_c865a86f,addr_c9e4701e
acct_b10d69c8,dev_e9791257,ip_466f7b7c,card_ce79ab01,addr_bc33fe30
acct_db029781,dev_80af1fce,ip_814ecfe4,card_980f98a1,addr_804e5458
acct_0d3eb2a2,dev_b50251a7,ip_e7dd6bda,card_1f16a0c8,addr_46b973d6
acct_c725fc9e,dev_d7948922,ip_63bd569c,card_38d0c0ce,addr_18a0c5d4
acct_e9628670,dev_23469d7a,ip_48d15d59,card_118b13fb,addr_0732c416
acct_1d90e7f9,dev_ed698661,ip_b1c9a97d,card_3a385354,addr_364c5e41
acct_35d57904,dev_915dd116,ip_dbedf7fc,card_492d33cf,addr_85d44938
acct_73cbca7b,dev_a404796e,ip_6be58cb9,card_ffae2f23,addr_afc06074
acct_246bd005,dev_92f88ec4,ip_f609b51d,card_404ffa4e,addr_fc770c55
acct_c0e7cfb3,dev_cab41991,ip_8ad5d734,card_fe51b8f1,addr_0edcbb57
acct_4b645f31,dev_f83c6837,ip_da8e27e6,card_177689f4,addr_17d2c6c2
acct_874b97c0,dev_bb94770f,ip_1bf40627,card_9ee3eaed,addr_914de77c
acct_5902f6c6,dev_8c9203cc,ip_ed62b950,card_52689b0f,addr_7fbd80fc
acct_4377cdd5,dev_64f7f1c9,ip_c3bc1f09,card_25f9a48d,addr_8654adb8
acct_8215caa9,dev_ca3f68a8,ip_ed58d15c,card_6dd55855,addr_d5585056
acct_fd641e30,dev_ac9b4b91,ip_0a54b142,card_e0598262,addr_ebcee63f
acct_6bb3acb0,dev_1344c7d1,ip_21c3a150,card_4136729a,addr_e69451c3
acct_03bc0f22,dev_d97b381e,ip_9e352530,card_65612421,addr_0fb2aade
acct_061b7ba9,dev_f6576023,ip_f73b3dc4,card_0248410d,addr_47b289cb
acct_82aab752,dev_48fa7873,ip_a0df6b6c,card_567c6ede,addr_2c73dfac
acct_5753ae63,dev_6cddcb08,ip_69a56c20,card_62141331,addr_8b3ac9ee
acct_433f7e71,dev_e2fb180a,ip_d396f76b,card_f5e4ee2e,addr_793fe295
acct_4b74583b,dev_2eabe7f0,ip_185291ea,card_5bb5f2af,addr_d8293f06
acct_6df56459,dev_967788ff,ip_1e8935b3,card_70316dcb,addr_0eb319b8
acct_c2eec551,dev_9abec069,ip_4329c4ca,card_9207ce2d,addr_7721af6e
acct_1f49c224,dev_ea65d2b0,ip_10ccb592,card_5a34e6e0,addr_9d3bf1dc
acct_0c968aef,dev_2731cd61,ip_50c6ac70,card_3190cf8a,addr_41d3cd05
acct_77df6e0d,dev_6fcb3d1a,ip_522aba40,card_916b23a5,addr_17937bf5
acct_d1845b0b,dev_fc57b320,ip_05bcc6e8,card_c66a4c7f,addr_be800443
acct_65e9c3ea,dev_95d9a5a2,ip_1fc76a90,card_ab2936af,addr_988b21da
acct_b1a8737a,dev_3643e5cb,ip_1ab5f34b,card_cc5d1ff4,addr_4453182c
acct_b7107e09,dev_e407342f,ip_d4fde4ca,card_d9f5f5eb,addr_bcf491cc
acct_b1977bae,dev_1935bf9f,ip_3e660036,card_2b9f7462,addr_d5dcf6f0
acct_b71488d8,dev_b3f7400c,ip_f7260fcf,card_71806080,addr_a916bd06
acct_e913a0a7,dev_149d6695,ip_674684d3,card_bdc3566b,addr_6d73db89
acct_01d3b2a6,dev_3c7ce163,ip_23458045,card_755d4cda,addr_e91a22e7
acct_b289dad9,dev_4a0d4649,ip_a106f0da,card_5bd05485,addr_7ff282ad
acct_565b6e72,dev_10bea0f9,ip_e9b7721b,card_d61c1c17,addr_5e601361
acct_bf4013c0,dev_3408b230,ip_fae52a33,card_0e24401d,addr_1abb7452
acct_78cbe19b,dev_02a8fd99,ip_04806e48,card_202e5ee9,addr_332791dd
acct_57992b93,dev_2999c781,ip_b75d3eb9,card_33a0ead1,addr_6ca9b430
acct_02e07957,dev_581536f6,ip_c5e5bfe8,card_9da089fb,addr_bba5fb19
acct_4694e465,dev_980c587b,ip_5a57ceaf,card_529050de,addr_dee513c1
acct_274a6bde,dev_4d40f188,ip_d76d5405,card_c73d9cdb,addr_024017cd
acct_48b7bc74,dev_aa5df61a,ip_641d88db,card_16b25b44,addr_e358e31a
acct_75310779,dev_2fdc3f76,ip_273bafe2,card_6c63812e,addr_c878e784
acct_3f518a94,dev_88a19eb0,ip_46e4e918,card_14c25010,addr_068ed137
acct_4868935c,dev_860a20cb,ip_d56e046f,card_e56b3ab1,addr_5e3495ae
acct_ec78ee9f,dev_d0122595,ip_c924266b,card_0b375681,addr_78d41b82
acct_9372ae34,dev_a81ecd3f,ip_64f28798,card_81ad973c,addr_32e0b903
acct_e27f16cf,dev_8e2901e7,ip_733ea140,card_00781a04,addr_d43e2b79
acct_7cbba9ec,dev_8a3b76fc,ip_d710d7b4,card_741026f7,addr_3b43bf34
acct_3a5c8c3b,dev_542a0c80,ip_fa6a6140,card_78ebd9eb,addr_df77ce93
