account_id,is_fraud_ring,ring_id
acct_7f239c5b,0,
acct_3a8d1c32,0,
acct_4385daaf,0,
acct_3ecc77ec,0,
acct_18502e47,0,
acct_bd2e3166,0,
acct_03e879cf,0,
acct_327b9c3c,0,
acct_8585e2dc,0,
acct_1501ed35,1,ring_3
acct_d439b957,0,
acct_42b82ff9,0,
acct_b3514f89,0,
acct_ef68e0e3,0,
acct_7751c7a2,0,
acct_f06ca03d,0,
acct_d37ab182,0,
acct_4e516c76,0,
acct_177f6c3e,1,ring_8
acct_2b5a10cd,0,
acct_2d28e15c,0,
acct_824607ef,0,
acct_3c09b145,0,
acct_8815a43d,0,
acct_0abf52b7,0,
acct_691dff7c,0,
acct_e5f4876b,0,
acct_02322ecb,0,
acct_5bab77ea,0,
acct_0fe4901f,0,
acct_33f16332,0,
acct_7994f3c4,0,
acct_20b798b6,0,
acct_fa65347c,0,
acct_4c3fe6f1,0,
acct_fb834add,0,
acct_abe04cb6,0,
acct_48bcfd76,0,
acct_dfd8a03c,0,
acct_bc4c4bda,0,
acct_9c127140,0,
acct_d46870d8,0,
acct_347c9d4e,0,
acct_05a77275,1,ring_12
acct_f17a128e,1,ring_0
acct_9a5851a3,1,ring_4
acct_09a5fd4d,0,
acct_e505ef8f,0,
acct_2cb6fc8a,1,ring_6
acct_cd8fbbe7,0,
acct_02521d3d,0,
acct_937e1ee1,0,
acct_28027113,0,
acct_f27e7322,0,
acct_0c411172,0,
acct_63787eed,0,
acct_12b94a94,0,
acct_e2a8402f,0,
acct_43d80bde,0,
acct_20a82e7b,0,
acct_3678212f,0,
acct_a8ffc245,1,ring_3
acct_bbc443d5,0,
acct_23e28d0d,0,
acct_68c7c890,0,
acct_6c80ec3a,1,ring_0
acct_8b4e0870,0,
acct_8f7d6081,0,
acct_0ee2d39b,0,
acct_1bd3c30a,0,
acct_4ef33b77,0,
acct_38b3a83a,0,
acct_87176b60,0,
acct_e555242c,0,
acct_8140266a,1,ring_6
acct_9fcb957e,0,
acct_14fdaa06,0,
acct_2633f15a,0,
acct_b4f47cca,0,
acct_e89e0c8d,0,
acct_2b0ddf33,0,
acct_01ad924f,0,
acct_9bd08167,0,
acct_15b98107,0,
acct_21c81078,0,
acct_1dd6ef57,0,
acct_5f21f450,0,
acct_73153eff,0,
acct_3bd97df0,0,
acct_1045357d,0,
acct_dbd0de5b,1,ring_2
acct_cbbd4875,0,
acct_7d3d3084,0,
acct_619a8a18,0,
acct_6716629c,0,
acct_053ab951,0,
acct_a2bc6d17,0,
acct_256f6f66,0,
acct_b93ad7f0,0,
acct_5e659437,0,
acct_b10d69c8,0,
acct_db029781,0,
acct_0d3eb2a2,0,
acct_c725fc9e,0,
acct_e9628670,0,
acct_1d90e7f9,0,
acct_35d57904,0,
acct_73cbca7b,0,
acct_246bd005,0,
acct_c0e7cfb3,0,
acct_4b645f31,0,
acct_874b97c0,1,ring_0
acct_5902f6c6,0,
acct_4377cdd5,0,
acct_8215caa9,0,
acct_fd641e30,0,
acct_6bb3acb0,0,
acct_03bc0f22,0,
acct_061b7ba9,0,
acct_82aab752,0,
acct_5753ae63,0,
acct_433f7e71,0,
acct_4b74583b,0,
acct_6df56459,0,
acct_c2eec551,0,
acct_1f49c224,0,
acct_0c968aef,0,
acct_77df6e0d,0,
acct_d1845b0b,0,
acct_65e9c3ea,0,
acct_b1a8737a,0,
acct_b7107e09,0,
acct_b1977bae,0,
acct_b71488d8,1,ring_5
acct_e913a0a7,0,
acct_01d3b2a6,0,
acct_b289dad9,0,
acct_565b6e72,0,
acct_bf4013c0,0,
acct_78cbe19b,0,
acct_57992b93,0,
acct_02e07957,0,
acct_4694e465,0,
acct_274a6bde,0,
acct_48b7bc74,0,
acct_75310779,0,
acct_3f518a94,0,
acct_4868935c,0,
acct_ec78ee9f,0,
acct_9372ae34,0,
acct_e27f16cf,0,
acct_7cbba9ec,0,
acct_3a5c8c3b,0,
acct_be33cd67,0,
acct_b90c3be9,0,
acct_e0c3308b,0,
acct_71d59fc1,0,
acct_0072fede,0,
acct_dca18e21,0,
acct_827de579,0,
acct_6155642f,0,
acct_57a7991b,0,
acct_d3b10fd5,0,
acct_65ce0026,0,
acct_4de5dad4,0,
acct_43f290c6,0,
acct_a2b87f5d,0,
acct_90925abe,0,
acct_bbad1164,0,
acct_e3e658f5,0,
acct_cde7d64e,0,
acct_110fb05d,0,
acct_b80de54f,0,
acct_d2552a9a,0,
acct_9575db35,0,
acct_d0750c88,0,
acct_4eb0b7a8,0,
acct_44b30d33,0,
acct_3ca593f8,0,
acct_f76664a1,0,
acct_d4b0c35b,0,
acct_0bee35d2,0,
acct_854d6081,0,
acct_81677aea,0,
acct_aa3d606c,0,
acct_c643b460,0,
acct_5ad2eb90,0,
acct_4dc5de26,0,
acct_549ba3e4,0,
acct_71b4d298,0,
acct_225e4eb8,0,
acct_f225d2a1,0,
acct_f75828c8,0,
acct_ed128642,0,
acct_21607950,0,
acct_e9cfed7f,0,
acct_2b85fcd3,0,
acct_07569a16,0,
acct_e2135fad,0,
acct_577a184e,0,
acct_1fd4cffc,0,
acct_b037a5ab,0,
acct_ba2b9ad4,0,
acct_f6356181,0,
acct_9f8ce293,0,
acct_a418d1ce,0,
acct_fdf4240d,0,
acct_592febeb,0,
acct_a80d1491,0,
acct_2f503f27,0,
acct_17571990,0,
acct_f591df47,0,
acct_5d62aa3d,0,
acct_4ad91365,0,
acct_ae8a67f5,0,
acct_5481e48a,0,
acct_badeafbc,0,
acct_c52bb19c,1,ring_1
acct_cd793a1f,0,
acct_76fc30a0,0,
acct_adabc8ec,0,
acct_d208a196,1,ring_4
acct_e4759242,0,
acct_ed4214bb,0,
acct_989783c7,0,
acct_c44c6350,0,
acct_49d997e5,0,
acct_79921a7e,0,
acct_7469266e,0,
acct_bb38d741,0,
acct_7ac175cf,0,
acct_1549e82f,0,
acct_2a9555f1,0,
acct_811dfc82,0,
acct_df4b9f3a,0,
acct_4880a864,0,
acct_63fc864c,0,
acct_2191310e,0,
acct_710253ee,0,
acct_08c9e480,0,
acct_7d43e10a,0,
acct_39f0bc8c,0,
acct_cd8dba76,0,
acct_5fb7b174,0,
acct_f7789dc6,0,
acct_bdd23cd3,0,
acct_03656392,0,
acct_51922480,0,
acct_65f37952,0,
acct_2d61e7b4,0,
acct_a42421bd,0,
acct_2feb6ad4,0,
acct_2987818a,0,
acct_2863692e,0,
acct_d2fbc841,0,
acct_ba0ffd1b,0,
acct_34230bc1,0,
acct_198a1a47,0,
acct_ae6577d9,0,
acct_e43aea10,0,
acct_257b5927,0,
acct_0cb721a3,0,
acct_6c8d3287,0,
acct_b31936df,0,
acct_a4d134cc,0,
acct_9c04734b,0,
acct_c32ee0cb,0,
acct_285df482,0,
acct_f3254ca9,0,
acct_810cd652,1,ring_11
acct_ab37e89b,0,
acct_08daa6e5,0,
acct_bdc85097,0,
acct_d9488cea,0,
acct_72ab8845,0,
acct_c8582c5d,0,
acct_0ee3f53f,0,
acct_fc15076a,0,
acct_83f9c448,0,
acct_880bbf27,0,
acct_a430e7bb,0,
acct_de7dfec6,0,
acct_195dadd8,0,
acct_b9daf87e,0,
